test,agreement,ari
微弱幅度界限_0.1MPa,0.9138364779874214,0.7891471251354331
微弱幅度界限_0.15MPa,0.9720125786163522,0.9261028993838942
微弱幅度界限_0.25MPa,0.9710691823899371,0.923626152831619
微弱幅度界限_0.3MPa,0.9481132075471698,0.8652881007078534
每参数惩罚_0.0003,0.9767295597484277,0.959527333164206
每参数惩罚_0.0012,0.9556603773584905,0.9216803200781524
趋势平滑尺度_0.5,0.9965408805031446,0.9925986747320266
趋势平滑尺度_2.0,0.9949685534591195,0.9915848234517922
