test,n,agreement,ari,weak,medium,strong
等指标权重,3180,0.930188679245283,0.8158941466029185,1403,930,847
幅度优先,3180,0.9786163522012579,0.9424099330202387,1559,812,809
持续时间面积优先,3180,0.9575471698113207,0.8891293796290063,1494,889,797
无累计面积时长,3180,0.9257861635220126,0.8102621555070368,1673,768,739
排除操作突变,3158,0.9984167194426853,0.9964843503321437,1525,827,806
排除低频,2182,0.9555453712190651,0.8773639023190515,845,662,675
排除片段和冲突,2908,0.984181568088033,0.957938793445921,1398,769,741
