k,silhouette,min_cluster_n,conditional_scale_group_ari_median,ari_to_guided_types
5,0.278122959997442,408,0.9689412098397161,0.42050593843307843
6,0.2826445575462251,289,0.9534405056992743,0.44150567662143914
7,0.2801736538653046,163,0.9728012758286797,0.4479266434842755
8,0.2658798597597465,162,0.958257021129074,0.44159848065762947
9,0.2733124021407276,163,0.9221214404798849,0.42212412154297724
