fold,feature,mean_abs_SHAP
0,重算井距_段中点平面_m,0.25077992567561286
0,段长_m,0.05227963023903767
0,簇数,0.020545057515015026
0,加砂强度_t_m,0.06910726349863389
0,用液强度_m3_m,0.06060482384676595
0,排量_m3_min,0.04033926890095455
0,孔隙度_pct,0.0809953531902917
0,含水饱和度_pct,0.05334771593635091
0,总有机碳_pct,0.05529991766373741
0,杨氏模量_GPa,0.11089757650830866
0,泊松比,0.03776074771644218
0,最小主应力_MPa,0.21919067524829688
0,水平应力差_MPa,0.1672609616954792
0,破裂压力_MPa,0.07017941944796884
1,重算井距_段中点平面_m,0.20030541363837767
1,段长_m,0.08364905648828659
1,簇数,0.018185587377887065
1,加砂强度_t_m,0.07743826221513081
1,用液强度_m3_m,0.046993711927095554
1,排量_m3_min,0.06522216294088388
1,孔隙度_pct,0.05200899316361557
1,含水饱和度_pct,0.07089806022720527
1,总有机碳_pct,0.04706818894685148
1,杨氏模量_GPa,0.04235750649158405
1,泊松比,0.01869974911551004
1,最小主应力_MPa,0.14329701037141898
1,水平应力差_MPa,0.24454879561719828
1,破裂压力_MPa,0.11150375140217435
2,重算井距_段中点平面_m,0.32410801826044916
2,段长_m,0.08681476679871437
2,簇数,0.05723495968569327
2,加砂强度_t_m,0.09094167234785534
2,用液强度_m3_m,0.1117462012150068
2,排量_m3_min,0.05953432608246281
2,孔隙度_pct,0.08120607099172675
2,含水饱和度_pct,0.0604553208869063
2,总有机碳_pct,0.03486213095341648
2,杨氏模量_GPa,0.05373267175043644
2,泊松比,0.06002710755906421
2,最小主应力_MPa,0.26914860955499725
2,水平应力差_MPa,0.20922225621561039
2,破裂压力_MPa,0.07013858489908985
3,重算井距_段中点平面_m,0.2683237423280014
3,段长_m,0.07490633626905421
3,簇数,0.018703201177041766
3,加砂强度_t_m,0.1214842074378373
3,用液强度_m3_m,0.09406426938195274
3,排量_m3_min,0.0940707428524443
3,孔隙度_pct,0.16240888785253924
3,含水饱和度_pct,0.044461132035209155
3,总有机碳_pct,0.054362007167261084
3,杨氏模量_GPa,0.04143144463395109
3,泊松比,0.02839925331209729
3,最小主应力_MPa,0.1311298158766993
3,水平应力差_MPa,0.09037725376990924
3,破裂压力_MPa,0.09305604219288947
4,重算井距_段中点平面_m,0.18146735607035225
4,段长_m,0.03950954199048283
4,簇数,0.019058855011244304
4,加砂强度_t_m,0.25691883863444676
4,用液强度_m3_m,0.0601909875687852
4,排量_m3_min,0.07123501022841083
4,孔隙度_pct,0.03635168107473873
4,含水饱和度_pct,0.156765338897967
4,总有机碳_pct,0.029333433799256455
4,杨氏模量_GPa,0.05914148525786004
4,泊松比,0.03168865131592611
4,最小主应力_MPa,0.1867178007750772
4,水平应力差_MPa,0.1329238461847126
4,破裂压力_MPa,0.09259836371202254
