fold,model,candidate,inner_score,macro_F1,balanced_accuracy,accuracy,log_loss,Brier_multiclass,macro_AUROC
0,Dummy,0,0.11792676662092015,0.16338028169014085,0.2,0.6904761904761905,1.150010417187234,0.5719208670876366,0.5
0,Logistic,0,0.17101596445930403,0.25063660260529236,0.26079545454545455,0.7244897959183674,0.7490440753764969,0.3509319463508791,0.8249759087954874
0,RandomForest,2,0.17396552132547652,0.24136187927445735,0.25962083893118376,0.7210884353741497,0.8983773654242762,0.4053322062223231,0.6992938874708547
0,XGBoost,2,0.17114361967101285,0.3113277633301979,0.30318144499178984,0.7448979591836735,0.8289207816123962,0.3703611134186815,0.7489601458848206
1,Dummy,0,0.12419995369181337,0.14608695652173914,0.2,0.5753424657534246,1.2078532321125623,0.6147616851322032,0.5
1,Logistic,1,0.24810511199174598,0.060291250154263856,0.15631861940178368,0.0547945205479452,1.802476199765939,0.9027718822462506,0.5514097548687946
1,RandomForest,2,0.24114369274909778,0.22903828197945844,0.27150600077429343,0.5159817351598174,1.3625719415973336,0.6967611596645227,0.5122654988179498
1,XGBoost,2,0.2447087158807686,0.1948653685495791,0.20372728850441213,0.4703196347031963,1.3054076433181763,0.6578668788292595,0.5310503755920866
2,Dummy,0,0.14858057959181556,0.006779661016949152,0.2,0.017241379310344827,2.092612030890603,1.12763490847169,0.5
2,Logistic,2,0.2657595533195973,0.11506849315068493,0.15272727272727274,0.3620689655172414,1.534900871337547,0.78108731900313,0.438468097318596
2,RandomForest,1,0.19933618960623667,0.14694569353164993,0.15238636363636365,0.27586206896551724,1.396129983995041,0.7363587222354634,0.40258395052296647
2,XGBoost,2,0.2039715640052235,0.14506849315068493,0.17772727272727273,0.3879310344827586,1.475803256034851,0.7555482146166642,0.4896907754769536
3,Dummy,0,0.10305322297392344,0.14986225895316804,0.2,0.5991189427312775,1.218598285778449,0.6069545115994778,0.5
3,Logistic,0,0.1454990443244488,0.2098259899094414,0.23275345481227833,0.4713656387665198,1.3889035405917953,0.6737548735052531,0.5998584111794323
3,RandomForest,2,0.1592842385943154,0.2068627450980392,0.26454689984101754,0.4977973568281938,1.3698863482603476,0.6927716042178179,0.5498492641709819
3,XGBoost,0,0.12435386977493078,0.15268478879026545,0.24017773429538133,0.15859030837004406,1.8126335144042969,0.8672378124247805,0.5978699581524995
4,Dummy,0,0.1369570301441355,0.11929824561403508,0.2,0.425,1.4203807454567312,0.7324411520656826,0.5
4,Logistic,0,0.22704474663477411,0.21901139972086137,0.2754201680672269,0.4,1.663823332075122,0.7812254674423299,0.5995037877303068
4,RandomForest,1,0.22343595931389346,0.14642071197411002,0.20287114845938375,0.23125,1.9247888121847871,0.8570546675734573,0.5873710959951476
4,XGBoost,2,0.2470258691757349,0.22472067614924757,0.2752100840336134,0.41875,1.5332601070404053,0.7600513035664462,0.5300149003338797
