model,macro_F1,balanced_accuracy,accuracy,log_loss,Brier_multiclass,macro_AUROC,F1_CI_low,F1_CI_high
Dummy,0.13797549967762734,0.2,0.5265748031496063,1.3280006360371976,0.6777091061161657,0.3649239854253693,0.07120569967117281,0.16718199706802483
Logistic,0.24356115418345814,0.2542007434413976,0.4311023622047244,1.3528568738493536,0.6588834591731453,0.6411287901771432,0.14251871437597802,0.2871256742460445
RandomForest,0.25779963675034506,0.2765114026679448,0.49901574803149606,1.322251663181735,0.6413030269137845,0.6311806701101982,0.1666360526917371,0.29552181318575055
XGBoost,0.2750659676494647,0.28721979733661973,0.4625984251968504,1.3361905727435301,0.6486946837552064,0.6209844551731901,0.1630846525389691,0.3195660695551103
NestedSelection,0.24107504232203042,0.2574624523105832,0.4389763779527559,1.3712593965837363,0.6755395694623337,0.613300775153611,0.14132764449352914,0.2846890680585307
