experiment,n,groups,macro_F1,balanced_accuracy,accuracy,log_loss,Brier_multiclass,macro_AUROC
仅工程参数,1016,21,0.2742365752114443,0.32194945112001183,0.35531496062992124,1.5811978309974657,0.7770979425967063,0.5868693542446066
仅地质参数,1016,21,0.22199155182443125,0.21977707693829193,0.31299212598425197,1.5963938620116682,0.764675714916994,0.5796026472335929
不含井距,1016,21,0.24167861505390112,0.24891595251408338,0.33070866141732286,1.5485502541902483,0.7514069465790776,0.6172901427590963
全特征固定参数,1016,21,0.2519461659862616,0.2662387076405768,0.3395669291338583,1.5373387912601426,0.7469257805534072,0.6327141510284824
加入形态边界,1255,21,0.25036510027865144,0.2544129026908464,0.3258964143426295,1.5313087511701355,0.7483822310284762,0.6123319192079328
按井段分组,1016,560,0.36645303578274513,0.39539227041563485,0.5236220472440944,1.1712471928826056,0.5873733247520865,0.7529046868255284
