class,n,recall,precision,F1,AUROC,AP,prevalence
涨幅微弱型,535,0.616822429906542,0.7081545064377682,0.6593406593406593,0.7142848815746012,0.7582953344762864,0.5265748031496063
快速稳定型,96,0.0,0.0,0.0,0.6314085144927537,0.1220112210227542,0.09448818897637795
渐进上升型,208,0.5240384615384616,0.36212624584717606,0.42829076620825146,0.7462306026275705,0.37300440641485577,0.2047244094488189
稳定缓升型,135,0.2,0.13432835820895522,0.16071428571428573,0.5706520368268383,0.14795258471174128,0.1328740157480315
先降后升型,42,0.09523809523809523,0.19047619047619047,0.12698412698412698,0.44234624034418696,0.05440583987449637,0.04133858267716536
