cluster,name,n,platforms,stages,low_resolution_n,boundary_n,alternate_n,fragment_n,amplitude_range_mpa_median,amplitude_range_mpa_q25,amplitude_range_mpa_q75,end_dp_mpa_median,end_dp_mpa_q25,end_dp_mpa_q75,early_rate_mpa_min_median,early_rate_mpa_min_q25,early_rate_mpa_min_q75,middle_rate_mpa_min_median,middle_rate_mpa_min_q25,middle_rate_mpa_min_q75,tail_rate_mpa_min_median,tail_rate_mpa_min_q25,tail_rate_mpa_min_q75,early_to_late_acceleration_mpa_min2_median,early_to_late_acceleration_mpa_min2_q25,early_to_late_acceleration_mpa_min2_q75,onset_fraction_median,onset_fraction_q25,onset_fraction_q75,true_pump_response_delay_min_median,true_pump_response_delay_min_q25,true_pump_response_delay_min_q75,label_agreement_median,label_agreement_q25,label_agreement_q75,hybrid_silhouette_median,hybrid_silhouette_q25,hybrid_silhouette_q75
1,低幅波动型,1027,19,424,511,139,98,26,0.06701190476188117,0.029994172494173466,0.11686689976690179,-0.0008275058275057454,-0.0467179487178484,0.039066110156847245,-2.8571428571428727e-05,-0.0005605373216634043,0.00011896762267929337,-6.477088027059926e-17,-0.0003059313102404173,0.0002115687799705398,8.265795001095904e-17,-0.00023047619047616004,0.00044292722028709615,2.944559466351558e-07,-1.3297131718185472e-06,5.8574279074451325e-06,1.0,1.0,1.0,99.0,35.5,143.875,1.0,1.0,1.0,0.4550776500392929,0.21748637157054773,0.5574797468040784
2,早期上升趋缓型,598,26,482,88,135,34,8,5.3612683463619755,3.3683802820308273,7.679741071428565,5.4043571428571475,3.2579056272528844,7.6793951048952405,0.03242087483353328,0.01893176782962221,0.056140987892610135,0.020097559095720634,0.007326064766585837,0.03712655168402144,0.014207643701066239,0.003060180606408098,0.02659003994891697,-9.417478972931662e-05,-0.0002231408903060917,-2.6815937265995582e-05,0.058823529411764705,0.03865544020150832,0.09218418259023353,8.0,4.0,12.0,1.0,1.0,1.0,0.1634066211953027,0.028930463445789485,0.2567606574239534
3,迟缓响应持续上升型,1187,28,782,227,37,62,15,2.3600517482517525,1.1199961122017954,4.6211760739261205,2.367000797816722,1.0949188811189376,4.782764402264405,0.00262176870748285,-0.00010989894420429977,0.008361845195074881,0.015494158937939973,0.006018389531920514,0.031634442966865135,0.018895238095239183,0.008166634658800489,0.040214593505403295,0.00010724760452424114,2.9051339363803467e-05,0.00027434107357320167,0.256,0.14555443627846404,0.415598779911182,37.0,21.0,64.0,1.0,0.9882352941176471,1.0,0.4468225062927069,0.31089110630546923,0.540474499592117
4,降压主导型,368,17,242,172,29,30,5,0.41961011904762896,0.2454935897435872,1.0867529865967405,-0.3433397602397781,-0.8282887504652292,-0.1965225524474863,-0.0030796165843600554,-0.007059960749100841,-0.0012614285714290217,-0.002011073755864977,-0.004775592185591632,-0.0007645503549931696,-0.0013349397504720747,-0.0034509523809519386,0.0002631560680443889,1.0512791702510733e-05,-6.736205593366415e-07,4.87347351670839e-05,1.0,1.0,1.0,71.5,3.0,96.5,1.0,1.0,1.0,0.4627766351590809,0.29238392336277813,0.524723729245594
