file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(1)井_1#流程_分钟数据4月21日0点至4月30日0点.csv,text,12857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(1)井_1#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(1)井_1#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(1)井_1#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(1)井_1#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23856.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(2)井_2#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(2)井_2#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(2)井_2#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(2)井_2#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(2)井_2#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(3)井_3#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(3)井_3#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(3)井_3#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(3)井_3#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(3)井_3#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(4)井_4#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(4)井_4#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(4)井_4#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(4)井_4#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(4)井_4#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(5)井_5#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(5)井_5#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(5)井_5#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(5)井_5#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(5)井_5#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(6)井_6#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(6)井_6#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(6)井_6#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(6)井_6#流程_分钟数据5月31日0点至6月19日0点.csv,text,27203.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(6)井_6#流程_分钟数据6月19日0点至7月05日14：53.csv,text,23857.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(7)井_7#流程_分钟数据4月11日0点至4月30日0点.csv,text,27184.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(7)井_7#流程_分钟数据4月30日0点至5月19日0点.csv,text,27218.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\35平台压裂期间36平台压力分钟数据_(7)井_7#流程_分钟数据5月19日0点至5月31日0点.csv,text,17193.0,22.0,已提取,4个通道
