file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-3井-陈妙,10,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H53-4井-陈妙,13,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H29-5井龚光云,29,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,阳101H29-6井龚光云,18,14,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H31-5井李欣,15,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,宁209H31-4井李欣,14,17,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H3-3井李治宏,2,14,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足203H2-2井李磊,5,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足208H1-1井李磊,4,14,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,足208H1-2井李磊,5,14,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H58-1井周嘉宾,32,14,未提取压力通道,0个通道
