file,sheet,monitor,points,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-11段压裂施工-3、4、6井分点压力监测.xlsx,导出数据,3,236,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-11段压裂施工-4、6井分点压力监测.xls,导出数据,4,236,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-11段压裂施工-4、6井分点压力监测.xls,导出数据,6,236,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-11段压裂施工-4、6井秒点压力监测.xls,导出数据,4,14101,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-11段压裂施工-4、6井秒点压力监测.xls,导出数据,6,14101,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-3、4、6井分点压力监测.xlsx,导出数据,4,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-3、4、6井分点压力监测.xlsx,导出数据,6,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-3、4、6井分点压力监测.xlsx,导出数据,3,277,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-4、6井分点压力监测.xls,导出数据,4,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-4、6井分点压力监测.xls,导出数据,6,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-4、6井秒点压力监测.xls,导出数据,4,16621,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-12段压裂施工-4、6井秒点压力监测.xls,导出数据,6,16621,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-13段压裂施工-4、6井分点压力监测.xls,导出数据,4,314,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-13段压裂施工-4、6井分点压力监测.xls,导出数据,6,314,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-13段压裂施工-4、6井秒点压力监测.xls,导出数据,4,18781,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-13段压裂施工-4、6井秒点压力监测.xls,导出数据,6,18781,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-15段压裂施工-4、6井分点压力监测.xls,导出数据,4,261,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-15段压裂施工-4、6井分点压力监测.xls,导出数据,6,261,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-15段压裂施工-4、6井秒点压力监测.xls,导出数据,4,15601,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-15段压裂施工-4、6井秒点压力监测.xls,导出数据,6,15601,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-16段压裂施工-4、6井分点压力监测.xls,导出数据,4,298,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-16段压裂施工-4、6井分点压力监测.xls,导出数据,6,298,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-16段压裂施工-4、6井秒点压力监测.xls,导出数据,4,17821,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-16段压裂施工-4、6井秒点压力监测.xls,导出数据,6,17821,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-21段压裂施工-4、6井分点压力监测.xls,导出数据,4,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-21段压裂施工-4、6井分点压力监测.xls,导出数据,6,278,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-22段压裂施工-4、6井分点压力监测.xls,导出数据,4,487,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-22段压裂施工-4、6井分点压力监测.xls,导出数据,6,487,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-22段压裂施工-4、6井秒点压力监测.xls,导出数据,4,29161,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-22段压裂施工-4、6井秒点压力监测.xls,导出数据,6,29161,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-6段压裂施工-4、6井分点压力监测.xls,导出数据,4,203,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-6段压裂施工-4、6井分点压力监测.xls,导出数据,6,203,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-6段压裂施工-4、6井秒点压力监测.xls,导出数据,4,12006,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-6段压裂施工-4、6井秒点压力监测.xls,导出数据,6,12006,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-9段压裂施工-4、6井秒点压力监测.xls,导出数据,4,14101,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-2-9段压裂施工-4、6井秒点压力监测.xls,导出数据,6,14101,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-11段压裂施工-6井分点压力监测.xls,导出数据,6,220,新解析器未识别，保留旧解析器有效通道
