method,k,common_hybrid_silhouette,min_n,min_platforms,min_stage_groups,max_fraction,seconds,support_gate,ari_median,ari_p10
Balanced_feature_KMeans,2,0.5089758149086496,1355,19,485,0.5738993710691824,0.0815119743347168,True,,
Balanced_feature_KMeans,3,0.4070824829266033,435,18,278,0.4990566037735849,0.08553266525268555,True,0.9913009032830624,0.965151742126505
Balanced_feature_KMeans,4,0.3340035444590637,368,17,242,0.3732704402515723,0.09921550750732422,True,0.9674846100556406,0.9084872556337072
Balanced_feature_KMeans,5,0.27644227737582894,364,16,238,0.2943396226415094,0.1175379753112793,True,0.9573629655870866,0.945010444573897
Balanced_feature_KMeans,6,0.2636657114827537,113,14,95,0.2569182389937107,0.10353922843933105,True,,
Balanced_feature_Ward,2,0.5020506340594041,1332,21,488,0.5811320754716981,0.5139491558074951,True,,
Balanced_feature_Ward,3,0.45199184834867717,443,17,289,0.5811320754716981,0.5361030101776123,True,0.8482077474071081,0.44534156722116214
Balanced_feature_Ward,4,0.25139370431833963,443,17,289,0.3452830188679245,0.5366623401641846,True,0.5549252283299135,0.43941936262610237
Balanced_feature_Ward,5,0.2227488711180103,325,17,289,0.3452830188679245,0.5296585559844971,True,0.5786511288306542,0.4631051102788197
Balanced_feature_Ward,6,0.21402829474777785,127,16,108,0.3452830188679245,0.5277924537658691,True,,
Shape_KMeans,2,0.517256926161156,1243,21,465,0.6091194968553459,0.06200718879699707,True,,
Shape_KMeans,3,0.47021328510915583,451,18,284,0.5619496855345912,0.07553315162658691,True,0.9955980797597672,0.9815635442363428
Shape_KMeans,4,0.47559420046042505,5,4,5,0.5641509433962264,0.10052037239074707,False,0.9937569563007436,0.5760399889266581
Shape_KMeans,5,0.33988012054032685,5,4,5,0.300314465408805,0.12053227424621582,False,0.9793169727822705,0.955954094191305
Shape_KMeans,6,0.29978220004038514,5,4,5,0.29371069182389936,0.13107967376708984,False,,
Hybrid_DTW_medoid,2,0.5183306657969105,1301,21,475,0.5908805031446541,1.346113681793213,True,,
Hybrid_DTW_medoid,3,0.4757375276372365,446,17,279,0.5773584905660377,1.6734302043914795,True,0.9864902262309752,0.9836682492667655
Hybrid_DTW_medoid,4,0.34600459851023724,446,17,279,0.3150943396226415,1.1190986633300781,True,0.8422944459145147,0.7293889895184031
Hybrid_DTW_medoid,5,0.30452289103922203,315,15,212,0.32955974842767294,1.2173430919647217,True,0.7167840268411209,0.5231447165328986
Hybrid_DTW_medoid,6,0.23364615036214786,368,16,245,0.21352201257861636,1.2206494808197021,True,,
