scenario,method,k,ari_vs_selected,ari_vs_dtw_same_k,own_silhouette,common_original_dtw_silhouette
radius0,DTW_kmedoids,2,0.9917413709856309,0.9917413709856309,0.6890372051105881,0.7031369093949315
radius5,DTW_kmedoids,2,0.983527851466012,0.983527851466012,0.6950647640131042,0.7018959576546089
radius20,DTW_kmedoids,2,0.959213844699003,0.959213844699003,0.7084153112556706,0.6957247294014413
length101,DTW_kmedoids,2,1.0,1.0,0.7018105674115888,0.7019293916535488
per_curve_zscore,DTW_kmedoids,2,0.037230949675732476,0.037230949675732476,0.6120220568682603,0.08836202983462041
no_median_smoothing,DTW_kmedoids,2,0.9917536693287928,0.9917536693287928,0.7007684045742177,0.700735584994614
