sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
c8ffd274e5c3d0,泸203H76,1,19,4,C1,False,81,1.0
c9377c9ca08887,泸201H5,4,26,2,C1,False,81,1.0
c943d58abce2b9,泸201H5,1,9,3,C1,False,78,1.0
ca7e11c66c0072,泸203H64,4,11,3,C1,False,85,1.0
cbc6555a40b706,泸201H5,2,14,4,C1,False,73,1.0
cd7fb5719f0ca9,泸201H5,2,16,1,C1,False,78,1.0
ce208a3e945518,泸203H10,4,9,3,C2,False,100,1.0
d0083d1b022425,阳101H35,1,4,2,C1,False,82,1.0
d07586b3d6d986,泸201H5,3,23,4,C1,False,87,1.0
d1d57342596fb1,泸201H5,3,10,4,C2,True,84,0.8333333333333334
d1db7c157350f4,泸203H66,2,22,3,C2,False,86,1.0
d2463fd950c37a,泸201H5,4,26,1,C1,False,81,1.0
d2db7b2c9270f4,阳101H35,1,2,2,C2,False,91,1.0
d3143712c6369f,泸206H8,2,19,3,C2,False,73,1.0
d4b55fd40c82eb,泸201H5,3,6,2,C1,False,82,1.0
d52dcc9a11d163,泸203H64,5,9,3,C2,False,90,1.0
d68a8f89222471,阳101H33,3,10,4,C2,False,88,1.0
d705268dac733a,泸203H76,3,17,4,C1,False,85,1.0
d854f413db272e,泸206H8,4,2,5,C1,False,80,1.0
d8e02a32e7172d,泸201H5,3,4,2,C1,False,73,1.0
d8fb5f5d1b86f1,泸208H1,6,2,5,C2,False,83,1.0
d9033c14a4bd85,泸201H5,2,12,1,C1,False,78,1.0
da210fe99631db,泸201H5,3,22,2,C1,False,88,1.0
dac3293bee55cc,泸201H5,1,18,3,C1,False,80,1.0
dacabaf6065e3a,泸201H5,2,23,1,C1,False,84,1.0
dadc734e914c3d,泸208H1,6,3,5,C2,False,76,1.0
db7e677e2f26c3,泸203H66,3,17,2,C1,False,86,1.0
dc06acfbd01867,泸208H1,4,16,5,C2,False,84,1.0
dc5531850e264d,泸203H66,1,16,2,C2,False,87,1.0
dc8f3dae0d0627,泸203H76,3,11,1,C1,False,87,1.0
dd906389e5295e,泸201H5,2,22,3,C1,False,79,1.0
ddb0c40afe0211,泸201H5,1,13,4,C1,False,85,1.0
df82f47d77ed81,泸201H5,3,6,4,C1,False,82,1.0
dfe148b1b9c4e9,泸201H5,3,8,4,C1,False,82,1.0
e0c9ff040737a3,泸203H64,3,7,4,C1,False,83,1.0
e0f67a8e9d30b8,泸201H5,3,12,2,C1,False,82,1.0
e17f5f176ed090,泸203H8,2,6,1,C2,False,100,1.0
e2ba17ebf3b7aa,泸201H5,1,19,2,C1,False,82,1.0
e2ff34b8c8e8f1,泸208H1,5,18,4,C2,False,77,1.0
e3080593b39a84,泸208H1,5,25,4,C2,False,76,1.0
e35dc177d60c7e,泸201H5,3,14,2,C1,False,75,1.0
e38ef7f5b5f019,泸201H5,2,15,1,C1,False,82,1.0
e3aaf75d2ef3fe,泸203H76,1,19,3,C1,False,81,1.0
e3b9e06279548a,泸201H5,2,2,4,C1,False,79,1.0
e45a31e0ae3285,泸208H2,9,5,8,C1,False,76,1.0
e465797e727397,泸206H8,4,2,1,C1,False,80,1.0
e4cb2a7db8ddde,泸201H5,2,10,4,C1,False,82,1.0
e5935bef111212,泸201H5,4,25,2,C1,False,75,1.0
e7411ea33c2c7e,泸206H8,5,3,7,C1,False,84,1.0
e91ac0b73ea9e8,泸201H5,2,4,1,C1,False,83,1.0
e95f63e0813d23,泸201H5,1,5,2,C1,False,79,1.0
ea13f0ea493c11,泸203H9,3,3,2,C1,False,100,1.0
ea4b825edd73e9,泸203H66,2,24,1,C2,False,85,1.0
eb319b86471620,泸203H64,5,14,4,C1,False,83,1.0
ec1712fc7fd908,泸201H5,3,2,1,C1,False,78,1.0
ec9382dd5e39a3,泸206H8,1,12,4,C1,False,84,1.0
eccd58b3912c48,泸201H5,3,20,2,C1,False,79,1.0
ece764f72c7cc8,泸208H1,5,5,4,C2,False,85,1.0
ed16e50a011f1b,泸201H5,2,16,3,C1,False,78,1.0
edd29bc6fd61de,泸208H2,7,14,8,C1,False,82,1.0
ee053a89f7eac9,泸208H2,7,8,6,C2,False,81,1.0
ee07a520d5bc58,泸201H5,3,4,1,C1,False,73,1.0
ef1133e2878eec,泸206H8,5,6,6,C1,False,87,1.0
ef34bd413f4296,泸201H5,1,16,3,C1,False,76,1.0
ef3b9fed11dbae,泸201H5,1,12,4,C1,False,77,1.0
ef41f0e0507ea4,泸201H5,1,10,3,C1,False,80,1.0
efcb6a1fcd2519,泸201H5,4,14,3,C1,False,82,1.0
f036580d78f73c,泸201H5,1,5,3,C1,False,79,1.0
f077ff3d831c5c,泸203H64,4,3,3,C2,False,86,1.0
f0bc63f4af95ba,泸208H2,10,7,9,C2,False,87,1.0
f182e2ef6f59b8,泸203H11,7,9,6,C2,False,83,1.0
f24f1e529e7e26,泸208H2,8,10,9,C2,False,83,1.0
f2b4e7f4782a41,泸208H1,5,5,6,C2,False,85,1.0
f3056a5fde44df,泸203H66,2,23,3,C2,False,83,1.0
f313bb8189b1bd,泸201H5,1,19,3,C1,False,82,1.0
f4d05e8dc8e36f,阳101H51,2,7,1,C2,False,79,1.0
f5c8991fb1b722,泸208H2,8,13,9,C2,False,84,1.0
f6c64f2f9a998d,泸201H5,2,19,1,C1,False,84,1.0
f7037b2cbfd730,泸201H5,4,15,2,C1,False,79,1.0
f705abcc97776d,泸203H9,3,3,5,C1,False,100,1.0
f7ba8ce459c00b,泸203H66,3,12,2,C1,False,85,1.0
f922b8a2ab8611,泸201H5,1,3,4,C1,False,80,1.0
f92e0afaef85ff,泸201H5,4,14,1,C1,False,82,1.0
f98cc61cf0af90,泸203H66,1,18,2,C2,False,85,1.0
f99c47d52076e7,泸201H5,1,6,3,C1,False,82,1.0
f9ef33086e6280,泸201H5,4,19,2,C1,False,80,1.0
fa75b8a3101c03,泸203H66,2,23,1,C2,False,83,1.0
facda9f9dfe975,泸203H11,2,12,1,C2,False,88,1.0
fca9fa8e4e7e3d,阳101H51,2,16,3,C1,False,77,1.0
fd0883475e5eab,泸203H64,5,14,2,C1,False,83,1.0
fe6032a9bd77a2,泸201H5,2,12,4,C1,False,78,1.0
fe96136c51bf00,泸201H5,2,11,4,C1,False,80,1.0
fee259242e288a,泸201H5,4,5,2,C1,False,75,1.0
ff5143c0f812a0,泸208H2,7,16,8,C2,False,83,0.8192771084337349
