sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
2eba4b3d0837c1,泸201H5,2,20,1,C1,False,77,1.0
2f346aaebbcaf0,泸208H1,4,2,3,C2,False,75,1.0
2f4c22493b6475,泸203H76,3,17,2,C1,False,85,1.0
2f501bfa3f03d7,泸203H153,5,3,6,C1,False,82,1.0
3021fc233a5082,泸201H5,4,3,1,C1,False,80,1.0
333c05264e9b90,泸203H64,5,14,1,C1,False,83,1.0
35631e2dee65e7,泸201H5,4,6,3,C2,False,78,1.0
359a286a5d2d80,阳101H34,3,6,2,C2,False,84,1.0
3607a6f09dcaf2,泸206H8,4,1,8,C1,False,79,1.0
3619a887922ee1,泸201H5,4,12,3,C1,False,79,1.0
361b00c1798782,泸201H5,1,17,3,C1,False,77,1.0
37712c3e2635cb,泸208H1,4,1,3,C1,False,80,1.0
37c151f312f9c2,泸203H64,3,9,2,C1,False,76,1.0
386299299569d9,泸201H5,1,11,4,C1,False,81,1.0
38f1ba8d2531d7,泸206H8,5,4,7,C1,False,84,1.0
390980c710beba,泸201H5,1,6,2,C1,False,82,1.0
39a0cae2bc5592,泸201H5,3,24,2,C1,False,80,1.0
39d337c0a852cf,泸201H5,3,11,1,C1,False,73,1.0
39e599c8155abb,泸203H64,4,10,3,C1,False,84,1.0
3a39231aaa9b91,阳101H35,2,3,1,C2,False,87,1.0
3a5c1d658b5e12,阳101H33,3,5,1,C1,False,88,1.0
3a860131896dde,泸201H5,3,21,1,C1,False,83,1.0
3b6aa71a4a4457,阳101H34,3,22,4,C1,False,85,1.0
3bc422574f766b,泸203H64,3,9,1,C1,False,76,1.0
3c88e0360abaef,阳101H35,2,9,4,C1,False,87,1.0
3c89e0c4113293,泸203H64,4,8,3,C2,False,79,1.0
3d228630d3d6bd,泸201H5,2,13,4,C1,False,83,1.0
3d2334e2805d60,泸201H5,4,11,3,C1,False,75,1.0
3dab395c0badd2,泸201H5,1,3,3,C1,False,80,1.0
3dca364196bd7c,泸201H5,1,13,3,C1,False,85,1.0
3e469117bbd75b,泸201H5,1,15,3,C1,False,80,1.0
3e4b107517bf81,泸208H2,1,2,2,C2,False,80,1.0
3ef9cf2a9047de,泸203H66,1,16,3,C1,False,87,1.0
3f17c3147716e6,泸203H64,4,3,1,C1,False,86,1.0
3f64da094d2dbc,泸201H5,4,9,2,C1,False,80,1.0
40194a3c900c78,阳101H34,4,13,3,C2,False,83,1.0
404f64b2050b53,泸208H1,4,14,5,C2,False,77,1.0
408f3a99de016e,泸206H8,5,6,8,C1,False,87,1.0
40be90c50ca73b,泸203H76,3,17,1,C1,False,85,1.0
40c627a59f5ba6,泸206H8,4,1,6,C1,False,79,1.0
41377507d21594,泸203H66,3,13,1,C1,False,86,1.0
415f031bfbdca7,泸201H5,4,4,3,C2,False,80,1.0
428702969b61f5,泸206H8,5,4,6,C1,False,84,1.0
42ac971a6544db,泸201H5,1,3,2,C1,False,80,1.0
430a4c9939cfc8,泸201H5,1,20,3,C1,False,80,1.0
434df72d5d967d,泸201H5,3,22,1,C1,False,88,1.0
4567bb54752d71,泸203H64,3,7,2,C1,False,83,1.0
45b16a2535db83,泸201H5,4,24,2,C1,False,79,1.0
477b7661fece8d,泸206H8,4,2,8,C1,False,80,1.0
487571acd8c820,阳101H51,3,2,1,C2,False,81,1.0
490c0f5a7c321c,泸201H5,4,25,3,C2,False,75,1.0
495bdb340cad2d,泸201H5,4,27,1,C1,False,76,1.0
4a0acc23c807a4,泸201H5,2,17,3,C1,False,77,1.0
4a8098992f4a6c,泸201H5,4,20,3,C2,False,78,1.0
4a8ed0f1c55ae9,泸201H5,2,7,3,C1,False,84,1.0
4a951ea97485f2,泸203H64,4,11,5,C1,False,85,1.0
4ab3d4ff8046e0,泸201H5,4,13,2,C1,False,78,1.0
4ac74cb44752c8,泸203H64,3,10,2,C2,True,87,0.8735632183908046
4b7b554a25e1ba,泸201H5,1,10,2,C1,False,80,1.0
4cf667c5f237d1,泸201H5,2,22,1,C1,False,79,1.0
4d0c7d76a1fb5d,泸201H5,3,2,4,C1,False,78,1.0
4d783fff405810,泸201H5,2,19,4,C1,False,84,1.0
4e8bce0178b2dd,阳101H51,3,2,2,C2,False,81,1.0
4ec72b5a9b2020,泸201H5,3,5,4,C1,False,82,1.0
4ee6b3c828d02b,泸203H11,2,7,3,C2,False,85,1.0
4f6c5ec45514e2,泸201H5,1,4,4,C1,False,82,1.0
4fc1b4c6c982dc,阳101H33,2,7,1,C1,False,81,1.0
505918d3f01932,泸201H5,2,14,3,C1,False,73,1.0
516e828b2a9269,泸201H5,3,20,1,C1,False,79,1.0
525a4c633a7412,阳101H51,3,6,2,C1,False,83,1.0
52f9f7ba154143,泸201H5,3,23,2,C1,False,87,1.0
530a361d3d51e1,泸201H5,1,10,4,C1,False,80,1.0
5313709d77d11a,泸203H76,3,11,2,C2,False,87,1.0
53655a34c6b071,泸201H5,4,9,3,C1,True,80,1.0
536753be0bc67b,泸201H5,3,8,2,C1,False,82,1.0
5420adb472639e,泸206H8,5,7,7,C1,False,85,1.0
5574ddcbdbb673,阳101H43,3,21,4,C2,False,100,1.0
55a6fde14da101,泸206H8,5,4,1,C1,False,84,1.0
55ca26e5f46291,泸201H5,1,7,3,C1,False,77,1.0
55e2178c15624b,泸203H76,2,17,1,C2,False,83,1.0
562293378123ac,泸201H5,2,9,1,C1,False,86,1.0
562b7227450baf,泸203H64,4,9,2,C1,False,89,1.0
56462f0785072e,泸203H66,1,20,3,C1,False,82,1.0
56c72e811738ea,泸203H9,3,3,6,C1,False,100,1.0
572af27337d79a,泸201H5,3,19,2,C1,False,80,1.0
57822a6445e27f,泸206H8,4,4,1,C1,False,75,1.0
57dcda854bff16,泸201H5,3,5,2,C1,False,82,1.0
58496a5bc5e02d,泸208H1,4,9,3,C2,False,77,1.0
5889f450730f60,泸201H5,4,11,2,C1,False,75,1.0
58aad583ef7678,阳101H37,4,10,6,C1,False,100,1.0
58bd7254b598f4,泸201H5,3,9,4,C1,False,83,1.0
590da199b71215,阳101H37,3,12,2,C1,False,100,1.0
596bcb85e858a3,泸201H5,4,4,2,C1,False,80,1.0
5970166513cc75,泸203H8,2,2,3,C2,False,100,1.0
59758517ed6084,泸201H5,4,9,1,C1,False,80,1.0
59a6c77504573c,泸201H5,4,18,3,C1,False,80,1.0
59c48a603a29ce,阳101H51,2,16,4,C1,False,77,1.0
5a37372c4c05d4,泸201H5,3,23,1,C1,False,87,1.0
5b2c74a622a5af,泸208H2,9,7,8,C1,False,82,1.0
5b9cdf438fabd2,泸206H8,4,19,1,C1,False,88,1.0
5bad11a94b9453,阳101H51,3,6,1,C1,False,83,1.0
5c277a119bee3b,泸203H64,5,9,4,C1,False,90,1.0
5c59056a76cbf1,泸201H5,3,22,4,C1,False,88,1.0
5c94651195754d,泸201H5,4,1,1,C1,False,89,1.0
5d99b6c6f126fe,泸203H76,2,17,3,C2,False,83,1.0
5de9a4bde1b524,泸203H64,4,3,2,C1,False,86,1.0
5e1c5d71d176c6,泸201H5,1,22,4,C1,False,75,1.0
5ec5edddeb2d18,泸201H5,4,4,1,C1,False,80,1.0
618b8f81a158ca,泸201H5,3,24,1,C1,False,80,1.0
619f0d145ea09f,泸201H5,3,13,4,C2,False,79,1.0
61f62c8483bc6b,泸203H11,7,9,5,C1,False,83,1.0
6351be43f02601,泸201H5,2,24,4,C1,False,82,1.0
642527539da1c9,泸201H5,2,8,1,C1,False,81,1.0
6466ff4dd39244,泸206H8,4,19,2,C1,True,88,0.7613636363636364
64a7ce6102e98d,泸203H64,4,2,1,C1,False,85,1.0
6504f5dbae2e82,泸208H1,3,1,4,C2,False,79,1.0
655360ab176657,泸208H1,4,3,3,C2,False,88,1.0
66a4bf85d375c0,泸201H5,2,5,1,C1,False,80,1.0
66c6d3a76a4c27,泸201H5,2,11,3,C1,False,80,1.0
