method,k,replicate,n,ari_to_full,ari_adjacent_overlap
DTW_kmedoids,2,93,425,0.980504616075882,0.8951276413864575
DTW_kmedoids,2,94,417,1.0,0.9884099893748115
DTW_kmedoids,2,95,417,1.0,1.0
DTW_kmedoids,2,96,417,1.0,1.0
DTW_kmedoids,2,97,420,0.9901113125671104,1.0
DTW_kmedoids,2,98,413,0.9209906989511878,0.8946911511624697
DTW_kmedoids,2,99,418,1.0,0.9165239613400182
DTW_kmedoids,3,0,422,0.751940997712466,
DTW_kmedoids,3,1,413,0.8837499326028105,0.8077214619875214
DTW_kmedoids,3,2,419,0.8862319489868434,1.0
DTW_kmedoids,3,3,414,0.7784081337114944,0.8683494734213518
DTW_kmedoids,3,4,417,0.8300692490737356,0.9306081820434435
DTW_kmedoids,3,5,418,0.8306688227369412,0.9962283784416601
DTW_kmedoids,3,6,420,1.0,0.8352402325552256
DTW_kmedoids,3,7,417,0.8107169311227884,0.8114732857580103
DTW_kmedoids,3,8,415,0.8959588875203797,0.8670024999683826
DTW_kmedoids,3,9,421,0.8903309321579381,1.0
DTW_kmedoids,3,10,416,0.8600262261607098,0.9330166259611807
DTW_kmedoids,3,11,416,0.770593486161185,0.8622235542380348
DTW_kmedoids,3,12,416,0.8765753374393823,0.8182326608602284
DTW_kmedoids,3,13,417,0.899415411892464,0.9962878857393266
DTW_kmedoids,3,14,416,1.0,0.890941211589488
DTW_kmedoids,3,15,418,0.9575972248242011,0.9485927096433747
DTW_kmedoids,3,16,414,0.8733725485270472,0.9022512406889018
DTW_kmedoids,3,17,415,0.9157303411936355,0.9674019117674566
DTW_kmedoids,3,18,418,0.7555595719023819,0.815704773323585
DTW_kmedoids,3,19,416,0.7552844431616481,0.9802872703417006
DTW_kmedoids,3,20,411,0.7633425660887189,0.9805875768509517
DTW_kmedoids,3,21,420,0.9416611317257859,0.8128364931839794
DTW_kmedoids,3,22,423,0.9798965185753544,0.9543454606607346
DTW_kmedoids,3,23,416,0.7707688546778054,0.7903254928690393
DTW_kmedoids,3,24,412,0.7798559483057377,0.9721658707619879
DTW_kmedoids,3,25,416,1.0,0.7774666079677172
DTW_kmedoids,3,26,414,0.9007482142130336,0.8976802347671137
DTW_kmedoids,3,27,412,0.753419347798174,0.8626698276880801
DTW_kmedoids,3,28,416,0.8379873626632475,0.8759369134044235
DTW_kmedoids,3,29,418,0.886809543234282,0.9433660029590781
DTW_kmedoids,3,30,410,0.7736956892667631,0.8387460048724887
DTW_kmedoids,3,31,413,0.8143687489327193,0.7096739446224862
DTW_kmedoids,3,32,418,0.9296342614015977,0.7599577253915426
DTW_kmedoids,3,33,422,0.9291337164324983,0.8630451702157464
DTW_kmedoids,3,34,414,0.7565964729848214,0.7245644885952709
DTW_kmedoids,3,35,411,0.7839785313591174,0.9746890586711204
DTW_kmedoids,3,36,413,0.8951409670875088,0.8648484915012462
DTW_kmedoids,3,37,413,0.8771247775539829,0.9925049291157272
DTW_kmedoids,3,38,417,0.7834590230680982,0.8814642744336932
DTW_kmedoids,3,39,415,1.0,0.7604442890306842
DTW_kmedoids,3,40,416,0.7959379480247701,0.7679860227747609
DTW_kmedoids,3,41,414,0.8886966193725754,0.8822210955332951
DTW_kmedoids,3,42,418,0.8876242374213457,1.0
DTW_kmedoids,3,43,416,0.8772467632152918,1.0
DTW_kmedoids,3,44,418,0.8771388815947719,1.0
DTW_kmedoids,3,45,418,0.7917031342750944,0.8622110965977685
DTW_kmedoids,3,46,414,0.8539444434552116,0.7141649443784492
DTW_kmedoids,3,47,415,0.9689944558229429,0.8141910675044612
DTW_kmedoids,3,48,423,0.9367317599690341,0.9754447596856971
DTW_kmedoids,3,49,418,0.9016120394114159,0.973144026804234
DTW_kmedoids,3,50,418,0.7925177239817436,0.8616620891190689
DTW_kmedoids,3,51,415,0.9788082232528358,0.8025638245723024
DTW_kmedoids,3,52,422,0.886020629854181,0.9134967766899659
DTW_kmedoids,3,53,419,0.8928970365805484,1.0
DTW_kmedoids,3,54,411,0.8856630904816248,1.0
DTW_kmedoids,3,55,412,0.7716646005350186,0.836466611385221
DTW_kmedoids,3,56,420,0.9606807853867146,0.726960587668959
DTW_kmedoids,3,57,416,0.9875800653322614,0.9487829731125916
DTW_kmedoids,3,58,416,0.8712610238415391,0.8598425183687597
DTW_kmedoids,3,59,418,0.9051340358904031,0.7904173727819284
DTW_kmedoids,3,60,413,0.9130175419488246,0.9615778401089099
DTW_kmedoids,3,61,409,1.0,0.91291773259439
DTW_kmedoids,3,62,419,1.0,1.0
DTW_kmedoids,3,63,415,0.8901871599103649,0.8893613012897553
DTW_kmedoids,3,64,419,1.0,0.9084903444821569
DTW_kmedoids,3,65,411,0.8130415609421653,0.8111223640459782
DTW_kmedoids,3,66,422,0.84311161495741,0.977527986216553
DTW_kmedoids,3,67,412,0.863384322906876,0.7461329760181128
DTW_kmedoids,3,68,416,0.8861429022884596,0.9878509281131195
DTW_kmedoids,3,69,419,0.928571561858,0.8171282763956121
DTW_kmedoids,3,70,414,0.8780338863804332,0.8276164445484339
DTW_kmedoids,3,71,416,0.9274141494378314,0.9525847722740807
DTW_kmedoids,3,72,417,0.8880412808136661,0.954707993984281
DTW_kmedoids,3,73,416,0.869412111082004,0.9640815272347903
DTW_kmedoids,3,74,409,0.9499307922798921,0.8857486016864242
DTW_kmedoids,3,75,414,0.984091547443906,0.9743706964047025
DTW_kmedoids,3,76,419,1.0,0.9815081367874062
DTW_kmedoids,3,77,416,0.838725291601355,0.824896422994595
DTW_kmedoids,3,78,419,1.0,0.8188964464001356
DTW_kmedoids,3,79,415,0.7735111067127693,0.7613418264827448
DTW_kmedoids,3,80,416,0.978590635519612,0.7676726907882289
DTW_kmedoids,3,81,414,0.927720540710041,0.9206510648089062
DTW_kmedoids,3,82,412,1.0,0.9383244307841945
DTW_kmedoids,3,83,414,0.7739843142476821,0.7660219228360197
